step,time_s,T_J1_rad,T_J2_rad,T_J3_rad,T_J4_rad,T_J5_rad,T_J6_rad,A_J1_rad,A_J2_rad,A_J3_rad,A_J4_rad,A_J5_rad,A_J6_rad,Eabs_J1_rad,Eabs_J2_rad,Eabs_J3_rad,Eabs_J4_rad,Eabs_J5_rad,Eabs_J6_rad
58,0.145,1.2949744713647422,-0.2122599441488744,0.27178788778745244,-1.0841047232408152,1.4036129993832593,1.417738413182599,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0007457029627935263,0.0025498099427354592,0.0020945486793502166,8.264277136982301e-05,0.00044499854913726544,0.0007612138711585725
59,0.1475,1.2950003364191038,-0.2121712567622509,0.2717149384278344,-1.0841075694647746,1.403628459908564,1.417764766935379,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0007715680171551664,0.0026384973293589464,0.002167498038968263,8.548899532923038e-05,0.00046045907444192125,0.000787567623938612
60,0.15,1.2950266387623386,-0.21208105301002828,0.2716407351098419,-1.0841104624114362,1.403644183587689,1.4177915628227813,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0007978703603899184,0.002728701081581575,0.002241701356960779,8.838194199078941e-05,0.00047618275356686723,0.0008143635113408987
61,0.1525,1.295053378149257,-0.21198933287466354,0.2715652774792431,-1.08411340198329,1.4036601703644183,1.417818800420506,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.000824609747308358,0.0028204212169463116,0.0023171589875595755,9.132151384472209e-05,0.0004921695302961826,0.000841601109065504
62,0.155,1.2950805543306634,-0.2118960963383053,0.27148856517582776,-1.084116388081243,1.4036764201816907,1.4178464792971741,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.00085178592871471,0.002913657753304544,0.0023938712909749027,9.430761179762825e-05,0.0005084193475686227,0.0008692799857337175
63,0.1575,1.2951081670533604,-0.21180134338279288,0.27141059783340615,-1.0841194206046199,1.4036929329816024,1.4178745990143304,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0008793986514117336,0.0030084107088169665,0.002471838633396506,9.734013517448403e-05,0.0005249321474802837,0.0008973997028900449
64,0.16,1.2951362160601543,-0.2117050739896559,0.27133137507980737,-1.0841224994511685,1.4037097087054122,1.4179031591264462,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0009074476582056068,0.003104680101953944,0.0025510613869952903,0.00010041898172308272,0.0005417078712901535,0.0009259598150057613
65,0.1625,1.2951647010898628,-0.21160728814011348,0.27125089653687834,-1.084125624517061,1.4037267472935486,1.4179321591809217,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0009359326879141427,0.0032024659514963694,0.0026315399299243203,0.00010354404761558911,0.0005587464594265512,0.0009549598694813533
66,0.165,1.2951936218773183,-0.21150798581507324,0.2711691618204821,-1.084128795696897,1.4037440486856134,1.4179615987180894,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0009648534753696758,0.0033017682765366096,0.0027132746463205404,0.00010671522745164808,0.0005760478514913459,0.0009843994066489614
67,0.1675,1.295222978153377,-0.21140716699513062,0.271086170540497,-1.0841320128837078,1.403761612820386,1.4179914772712152,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0009942097514283876,0.003402587096479226,0.0027962659263056633,0.00010993241426238143,0.0005936119862639533,0.001014277959774823
